"","District","Double collision","Multiple collision","Collision with fixed object","Accident with human","Overturns","Fall off a motorcycle","Fall off a moped","Fall off a bike","Fall off in a bus","Other","total_victims","Year"
"1","ARGANZUELA",389,54,126,75,9,43,9,4,5,8,454,"2009"
"2","BARAJAS",89,6,53,21,0,12,2,1,2,2,120,"2009"
"3","CARABANCHEL",375,44,171,137,8,36,13,6,9,8,575,"2009"
"4","CENTRO",514,55,171,143,0,61,12,3,10,12,646,"2009"
"5","CHAMARTIN",494,70,133,92,10,72,22,2,6,7,705,"2009"
"6","CHAMBERI ",414,35,87,87,3,51,12,4,4,5,536,"2009"
"7","CIUDAD LINEAL",398,64,124,101,3,57,17,5,4,4,594,"2009"
"8","FUENCARRAL",321,47,151,78,11,34,16,7,2,8,520,"2009"
"9","HORTALEZA",215,16,109,58,3,29,13,7,4,4,336,"2009"
"10","LATINA",298,40,134,85,7,24,10,2,9,11,436,"2009"
"11","MONCLOA",340,57,210,71,11,48,8,7,1,13,540,"2009"
"12","MORATALAZ ",151,26,59,40,0,23,3,2,3,4,226,"2009"
"13","P-VALLECAS",367,54,196,122,8,22,14,2,5,11,557,"2009"
"14","RETIRO",369,59,74,51,4,48,10,8,6,6,470,"2009"
"15","SALAMANCA",535,56,122,104,3,107,31,0,5,2,711,"2009"
"16","SAN BLAS",301,29,88,66,3,20,10,3,2,5,417,"2009"
"17","TETUAN",338,23,115,101,1,42,15,5,7,8,474,"2009"
"18","USERA",214,24,96,53,1,13,2,1,4,3,286,"2009"
"19","VICALVARO",86,6,39,15,6,9,4,3,2,2,120,"2009"
"20","V-VALLECAS",142,6,67,36,3,8,4,1,2,3,207,"2009"
"21","VILLAVERDE",148,19,65,46,4,9,4,3,1,8,212,"2009"
"22","ARGANZUELA",403,48,103,75,7,26,15,2,5,6,477,"2010"
"23","BARAJAS",62,5,34,22,1,11,0,0,0,0,112,"2010"
"24","CARABANCHEL",357,35,133,114,7,22,14,6,7,1,522,"2010"
"25","CENTRO",546,43,142,169,2,60,14,9,13,9,668,"2010"
"26","CHAMARTIN",460,67,128,85,11,77,16,1,8,5,682,"2010"
"27","CHAMBERI ",361,34,86,103,1,66,14,5,2,4,529,"2010"
"28","CIUDAD LINEAL",404,79,120,90,8,39,12,6,7,2,616,"2010"
"29","FUENCARRAL",294,49,165,72,10,26,9,6,3,2,500,"2010"
"30","HORTALEZA",183,15,68,44,4,11,8,4,3,3,279,"2010"
"31","LATINA",273,37,93,94,6,24,4,7,10,4,455,"2010"
"32","MONCLOA",350,47,177,75,10,45,9,6,9,11,573,"2010"
"33","MORATALAZ ",127,21,58,33,6,13,5,2,2,1,216,"2010"
"34","P-VALLECAS",324,44,157,107,7,20,9,3,8,7,501,"2010"
"35","RETIRO",349,55,33,57,2,45,12,7,7,5,427,"2010"
"36","SALAMANCA",506,44,131,89,6,89,19,1,9,6,670,"2010"
"37","SAN BLAS",274,27,62,66,2,22,6,2,5,2,397,"2010"
"38","TETUAN",331,25,87,89,3,47,13,6,4,3,490,"2010"
"39","USERA",178,36,78,78,4,14,2,4,0,4,300,"2010"
"40","VICALVARO",65,4,60,22,3,16,0,1,1,5,116,"2010"
"41","V-VALLECAS",124,9,63,32,8,9,3,1,0,3,197,"2010"
"42","VILLAVERDE",147,21,58,54,2,9,4,2,2,1,233,"2010"
"43","ARGANZUELA",373,48,102,61,3,45,14,5,3,0,453,"2011"
"44","BARAJAS",78,3,44,30,3,9,3,0,1,0,131,"2011"
"45","CARABANCHEL",381,48,125,103,3,36,8,10,8,4,553,"2011"
"46","CENTRO",528,48,173,149,4,77,13,6,3,6,657,"2011"
"47","CHAMARTIN",514,72,122,73,5,76,8,7,5,6,687,"2011"
"48","CHAMBERI ",414,24,72,102,0,68,15,6,7,4,556,"2011"
"49","CIUDAD LINEAL",371,68,150,112,8,54,11,5,6,2,597,"2011"
"50","FUENCARRAL",312,42,128,89,12,30,9,16,1,4,527,"2011"
"51","HORTALEZA",189,18,91,43,3,28,12,3,2,2,308,"2011"
"52","LATINA",285,35,114,88,1,20,8,4,9,3,427,"2011"
"53","MONCLOA",290,58,171,66,9,54,5,23,4,3,534,"2011"
"54","MORATALAZ ",137,16,52,34,5,12,6,2,2,3,219,"2011"
"55","P-VALLECAS",344,54,182,116,4,30,14,3,1,4,553,"2011"
"56","RETIRO",367,73,71,68,3,50,9,6,6,5,493,"2011"
"57","SALAMANCA",528,69,132,97,1,82,17,5,3,6,683,"2011"
"58","SAN BLAS",285,25,74,71,2,32,8,5,2,1,420,"2011"
"59","TETUAN",321,23,76,87,0,60,15,4,2,1,488,"2011"
"60","USERA",179,25,67,75,3,14,1,0,4,1,286,"2011"
"61","VICALVARO",73,9,43,22,2,10,1,1,2,4,119,"2011"
"62","V-VALLECAS",129,8,44,34,4,11,3,2,1,1,191,"2011"
"63","VILLAVERDE",140,10,75,46,1,5,5,1,3,2,202,"2011"
"64","ARGANZUELA",376,49,77,66,5,42,10,2,3,1,457,"2012"
"65","BARAJAS",82,5,36,19,2,7,3,2,0,3,123,"2012"
"66","CARABANCHEL",350,46,153,118,1,28,8,6,6,2,561,"2012"
"67","CENTRO",491,42,135,125,2,81,20,10,2,9,667,"2012"
"68","CHAMARTIN",464,62,119,82,5,75,16,4,10,4,653,"2012"
"69","CHAMBERI ",418,34,80,95,0,71,7,0,3,3,559,"2012"
"70","CIUDAD LINEAL",391,52,122,72,7,41,11,6,3,6,557,"2012"
"71","FUENCARRAL",317,49,141,78,18,36,11,11,4,5,551,"2012"
"72","HORTALEZA",170,19,80,54,2,20,10,6,4,2,278,"2012"
"73","LATINA",248,33,100,107,3,27,8,12,5,5,445,"2012"
"74","MONCLOA",292,65,154,56,8,65,7,24,4,3,555,"2012"
"75","MORATALAZ ",134,37,58,29,6,18,2,2,0,0,244,"2012"
"76","P-VALLECAS",340,48,151,116,5,28,11,4,4,6,549,"2012"
"77","RETIRO",370,65,64,54,1,48,13,3,6,2,468,"2012"
"78","SALAMANCA",633,60,131,90,6,83,10,4,7,9,702,"2012"
"79","SAN BLAS",265,45,74,65,1,19,10,12,1,2,419,"2012"
"80","TETUAN",324,26,69,96,4,40,12,3,2,1,487,"2012"
"81","USERA",182,23,81,63,1,10,5,4,5,4,284,"2012"
"82","VICALVARO",64,5,43,24,10,5,5,0,0,1,114,"2012"
"83","V-VALLECAS",119,6,44,35,3,17,6,4,0,4,189,"2012"
"84","VILLAVERDE",140,13,62,52,2,13,2,7,0,2,229,"2012"
"85","ARGANZUELA",360,50,79,63,2,54,6,7,6,4,460,"2013"
"86","BARAJAS",70,4,30,28,1,10,4,1,2,0,121,"2013"
"87","CARABANCHEL",366,40,143,98,3,31,8,12,5,3,542,"2013"
"88","CENTRO",482,33,159,138,1,80,9,12,10,2,625,"2013"
"89","CHAMARTIN",451,82,121,86,4,84,5,2,5,4,648,"2013"
"90","CHAMBERI ",414,30,67,91,1,87,9,7,4,5,562,"2013"
"91","CIUDAD LINEAL",396,52,128,75,3,72,10,6,4,4,610,"2013"
"92","FUENCARRAL",335,42,159,72,9,39,7,13,2,4,552,"2013"
"93","HORTALEZA",171,18,77,51,3,33,8,10,1,2,309,"2013"
"94","LATINA",248,29,110,95,4,24,4,4,5,7,419,"2013"
"95","MONCLOA",300,65,168,59,12,68,4,13,9,4,550,"2013"
"96","MORATALAZ ",132,14,39,53,7,23,5,5,1,3,240,"2013"
"97","P-VALLECAS",334,37,125,94,5,35,8,8,4,1,510,"2013"
"98","RETIRO",364,59,50,50,1,46,7,11,2,3,454,"2013"
"99","SALAMANCA",570,70,133,89,2,90,9,8,6,5,708,"2013"
"100","SAN BLAS",286,16,84,72,1,35,8,13,2,1,448,"2013"
"101","TETUAN",314,35,69,84,0,68,15,3,4,2,488,"2013"
"102","USERA",204,28,70,59,2,13,5,1,3,2,317,"2013"
"103","VICALVARO",73,4,47,25,4,11,3,2,0,3,125,"2013"
"104","V-VALLECAS",124,4,59,40,2,15,2,1,1,2,200,"2013"
"105","VILLAVERDE",163,11,58,64,0,9,1,1,0,0,244,"2013"
"106","ARGANZUELA",335,54,78,59,0,60,4,15,7,4,491,"2014"
"107","BARAJAS",76,1,37,20,2,5,2,2,0,1,121,"2014"
"108","CARABANCHEL",351,53,115,118,2,42,11,11,9,2,584,"2014"
"109","CENTRO",458,48,154,137,2,90,12,21,8,9,693,"2014"
"110","CHAMARTIN",455,56,125,72,13,82,10,9,7,9,670,"2014"
"111","CHAMBERI ",399,29,69,91,0,87,11,4,4,3,590,"2014"
"112","CIUDAD LINEAL",380,56,138,82,13,60,12,7,2,7,588,"2014"
"113","FUENCARRAL",295,37,134,87,16,43,3,22,5,2,545,"2014"
"114","HORTALEZA",188,17,89,60,4,26,9,12,2,3,343,"2014"
"115","LATINA",257,27,135,88,5,36,7,14,8,6,450,"2014"
"116","MONCLOA",304,50,178,49,7,49,8,25,3,4,519,"2014"
"117","MORATALAZ ",130,27,52,40,4,21,6,4,2,5,231,"2014"
"118","P-VALLECAS",351,49,122,105,4,39,10,13,6,7,563,"2014"
"119","RETIRO",350,70,54,62,3,56,6,13,4,3,513,"2014"
"120","SALAMANCA",547,71,128,89,1,110,12,11,7,5,746,"2014"
"121","SAN BLAS",298,25,79,62,6,40,6,20,5,2,462,"2014"
"122","TETUAN",333,29,87,91,1,81,9,6,6,2,543,"2014"
"123","USERA",196,34,79,68,2,18,2,9,1,0,316,"2014"
"124","VICALVARO",72,5,41,17,1,15,2,4,0,1,126,"2014"
"125","V-VALLECAS",136,10,49,44,5,13,5,7,1,2,229,"2014"
"126","VILLAVERDE",145,21,54,42,3,14,3,3,2,1,241,"2014"
